date_flight,name_departure_airport,name_arrival_airport,name_airline,duration,time_departure,time_arrival,number_stops,prices
03/10/2019,BILBAO,NEW YORK,TAP Portugal,29 h 55 min,20:05,20:00,(1 escala),250 €
03/10/2019,BILBAO,NEW YORK,Iberia,12 h 20 min,15:40,22:00,(1 escala),263 €
03/10/2019,BILBAO,NEW YORK,Iberia,14 h 40 min,13:20,22:00,(1 escala),263 €
03/10/2019,BILBAO,NEW YORK,TAP Portugal,14 h 15 min,11:45,20:00,(1 escala),276 €
03/10/2019,BILBAO,NEW YORK,Varias aerolíneas,22 h 0 min,19:10,11:10,(1 escala),601 €
03/10/2019,BILBAO,NEW YORK,Air Europa,11 h 15 min,12:30,17:45,(1 escala),1.776 €
03/10/2019,BILBAO,NEW YORK,Air Europa,15 h 10 min,8:35,17:45,(1 escala),1.776 €
03/10/2019,BILBAO,NEW YORK,British Airways,14 h 55 min,10:40,19:35,(1 escala),1.818 €
03/10/2019,BILBAO,NEW YORK,Air France,12 h 10 min,10:15,16:25,(1 escala),1.823 €
03/10/2019,BILBAO,NEW YORK,Varias aerolíneas,9 h 55 min,14:45,18:40,(1 escala),1.825 €
03/10/2019,BILBAO,NEW YORK,Varias aerolíneas,10 h 50 min,9:25,14:15,(1 escala),1.825 €
03/10/2019,BILBAO,NEW YORK,Varias aerolíneas,11 h 20 min,8:15,13:35,(1 escala),1.825 €
03/10/2019,BILBAO,NEW YORK,Varias aerolíneas,11 h 20 min,8:15,13:35,(1 escala),1.825 €
03/10/2019,BILBAO,NEW YORK,Finnair,11 h 20 min,8:15,13:35,(1 escala),1.825 €
03/10/2019,BILBAO,NEW YORK,Finnair,12 h 0 min,8:15,14:15,(1 escala),1.825 €
03/10/2019,BILBAO,NEW YORK,Finnair,12 h 50 min,6:45,13:35,(1 escala),1.825 €
03/10/2019,BILBAO,NEW YORK,Finnair,13 h 30 min,6:45,14:15,(1 escala),1.825 €
03/10/2019,BILBAO,NEW YORK,Iberia,9 h 55 min,14:45,18:40,(1 escala),1.836 €
03/10/2019,BILBAO,NEW YORK,British Airways,9 h 55 min,14:45,18:40,(1 escala),1.836 €
03/10/2019,BILBAO,NEW YORK,Iberia,10 h 50 min,9:25,14:15,(1 escala),1.836 €
03/10/2019,BILBAO,NEW YORK,British Airways,10 h 50 min,9:25,14:15,(1 escala),1.836 €
03/10/2019,BILBAO,NEW YORK,Iberia,11 h 20 min,8:15,13:35,(1 escala),1.836 €
03/10/2019,BILBAO,NEW YORK,British Airways,11 h 20 min,8:15,13:35,(1 escala),1.836 €
03/10/2019,BILBAO,NEW YORK,Iberia,11 h 20 min,13:20,18:40,(1 escala),1.836 €
03/10/2019,BILBAO,NEW YORK,British Airways,11 h 20 min,13:20,18:40,(1 escala),1.836 €
03/10/2019,BILBAO,NEW YORK,Iberia,12 h 0 min,8:15,14:15,(1 escala),1.836 €
03/10/2019,BILBAO,NEW YORK,British Airways,12 h 0 min,8:15,14:15,(1 escala),1.836 €
03/10/2019,BILBAO,NEW YORK,Iberia,12 h 50 min,6:45,13:35,(1 escala),1.836 €
03/10/2019,BILBAO,NEW YORK,British Airways,12 h 50 min,6:45,13:35,(1 escala),1.836 €
03/10/2019,BILBAO,NEW YORK,Iberia,13 h 30 min,6:45,14:15,(1 escala),1.836 €
03/10/2019,BILBAO,NEW YORK,Varias aerolíneas,9 h 55 min,14:45,18:40,(1 escala),1.850 €
03/10/2019,BILBAO,NEW YORK,Varias aerolíneas,11 h 45 min,14:10,19:55,(1 escala),1.954 €
03/10/2019,BILBAO,NEW YORK,Delta,11 h 44 min,7:10,12:54,(1 escala),1.954 €
03/10/2019,BILBAO,NEW YORK,Air France,11 h 44 min,7:10,12:54,(1 escala),1.954 €
03/10/2019,BILBAO,NEW YORK,KLM,11 h 44 min,7:10,12:54,(1 escala),1.954 €
03/10/2019,BILBAO,NEW YORK,Delta,12 h 10 min,10:15,16:25,(1 escala),1.954 €
03/10/2019,BILBAO,NEW YORK,KLM,12 h 10 min,10:15,16:25,(1 escala),1.954 €
03/10/2019,BILBAO,NEW YORK,Delta,13 h 15 min,7:10,14:25,(1 escala),1.954 €
03/10/2019,BILBAO,NEW YORK,Air France,13 h 15 min,7:10,14:25,(1 escala),1.954 €
03/10/2019,BILBAO,NEW YORK,KLM,13 h 15 min,7:10,14:25,(1 escala),1.954 €
03/10/2019,BILBAO,NEW YORK,Delta,11 h 20 min,6:50,12:10,(1 escala),1.957 €
03/10/2019,BILBAO,NEW YORK,Varias aerolíneas,11 h 20 min,6:50,12:10,(1 escala),1.957 €
03/10/2019,BILBAO,NEW YORK,KLM,11 h 20 min,6:50,12:10,(1 escala),1.957 €
03/10/2019,BILBAO,NEW YORK,Delta,12 h 40 min,6:50,13:30,(1 escala),1.957 €
03/10/2019,BILBAO,NEW YORK,KLM,12 h 40 min,6:50,13:30,(1 escala),1.957 €
03/10/2019,BILBAO,NEW YORK,KLM,14 h 0 min,11:50,19:50,(1 escala),1.957 €
03/10/2019,BILBAO,NEW YORK,Varias aerolíneas,11 h 15 min,12:30,17:45,(1 escala),1.970 €
03/10/2019,BILBAO,NEW YORK,Delta,11 h 56 min,6:45,12:41,(1 escala),1.970 €
03/10/2019,BILBAO,NEW YORK,KLM,11 h 56 min,6:45,12:41,(1 escala),1.970 €
03/10/2019,BILBAO,NEW YORK,United,11 h 45 min,14:10,19:55,(1 escala),2.082 €
03/10/2019,BILBAO,NEW YORK,American Airlines,10 h 50 min,9:25,14:15,(1 escala),2.088 €
03/10/2019,BILBAO,NEW YORK,American Airlines,11 h 20 min,8:15,13:35,(1 escala),2.088 €
03/10/2019,BILBAO,NEW YORK,American Airlines,11 h 20 min,13:20,18:40,(1 escala),2.088 €
03/10/2019,BILBAO,NEW YORK,American Airlines,12 h 0 min,8:15,14:15,(1 escala),2.088 €
03/10/2019,BILBAO,NEW YORK,American Airlines,12 h 50 min,6:45,13:35,(1 escala),2.088 €
03/10/2019,BILBAO,NEW YORK,American Airlines,13 h 30 min,6:45,14:15,(1 escala),2.088 €
03/10/2019,BILBAO,NEW YORK,Swiss International Air Lines,28 h 0 min,14:35,12:35,(1 escala),2.094 €
03/10/2019,BILBAO,NEW YORK,Lufthansa,11 h 45 min,14:10,19:55,(1 escala),2.098 €
03/10/2019,BILBAO,NEW YORK,Lufthansa,12 h 50 min,6:50,13:40,(1 escala),2.098 €
03/10/2019,BILBAO,NEW YORK,Brussels Airlines,28 h 35 min,14:20,12:55,(1 escala),2.107 €
03/10/2019,BILBAO,LONDON HEATHROW,Iberia,4 h 45 min,6:45,10:30,(1 escala),83 €
03/10/2019,BILBAO,LONDON HEATHROW,Iberia,4 h 55 min,13:20,17:15,(1 escala),83 €
03/10/2019,BILBAO,LONDON HEATHROW,Iberia,5 h 35 min,13:20,17:55,(1 escala),83 €
03/10/2019,BILBAO,LONDON HEATHROW,Iberia,6 h 35 min,9:25,15:00,(1 escala),83 €
03/10/2019,BILBAO,LONDON HEATHROW,Iberia,7 h 45 min,8:15,15:00,(1 escala),83 €
03/10/2019,BILBAO,LONDON HEATHROW,Iberia,8 h 0 min,9:25,16:25,(1 escala),83 €
03/10/2019,BILBAO,LONDON HEATHROW,Iberia,11 h 50 min,21:35,8:25,(1 escala),83 €
03/10/2019,BILBAO,LONDON HEATHROW,Iberia,5 h 0 min,8:15,12:15,(1 escala),88 €
03/10/2019,BILBAO,LONDON HEATHROW,Iberia,7 h 15 min,14:45,21:00,(1 escala),88 €
03/10/2019,BILBAO,LONDON HEATHROW,Iberia,5 h 55 min,14:45,19:40,(1 escala),98 €
03/10/2019,BILBAO,LONDON HEATHROW,Brussels Airlines,4 h 30 min,6:45,10:15,(1 escala),102 €
03/10/2019,BILBAO,LONDON HEATHROW,Brussels Airlines,8 h 15 min,14:20,21:35,(1 escala),102 €
03/10/2019,BILBAO,LONDON HEATHROW,Eurowings,4 h 55 min,14:55,18:50,(1 escala),104 €
03/10/2019,BILBAO,LONDON HEATHROW,British Airways,4 h 45 min,6:45,10:30,(1 escala),110 €
03/10/2019,BILBAO,LONDON HEATHROW,British Airways,4 h 55 min,13:20,17:15,(1 escala),110 €
03/10/2019,BILBAO,LONDON HEATHROW,British Airways,5 h 10 min,9:25,13:35,(1 escala),110 €
03/10/2019,BILBAO,LONDON HEATHROW,Varias aerolíneas,5 h 10 min,9:25,13:35,(1 escala),110 €
03/10/2019,BILBAO,LONDON HEATHROW,British Airways,5 h 35 min,13:20,17:55,(1 escala),110 €
03/10/2019,BILBAO,LONDON HEATHROW,British Airways,6 h 20 min,8:15,13:35,(1 escala),110 €
03/10/2019,BILBAO,LONDON HEATHROW,British Airways,6 h 35 min,9:25,15:00,(1 escala),110 €
03/10/2019,BILBAO,LONDON HEATHROW,British Airways,7 h 45 min,8:15,15:00,(1 escala),110 €
03/10/2019,BILBAO,LONDON HEATHROW,British Airways,7 h 50 min,6:45,13:35,(1 escala),110 €
03/10/2019,BILBAO,LONDON HEATHROW,KLM,4 h 10 min,11:50,15:00,(1 escala),111 €
03/10/2019,BILBAO,LONDON HEATHROW,KLM,4 h 55 min,6:50,10:45,(1 escala),111 €
03/10/2019,BILBAO,LONDON HEATHROW,KLM,5 h 25 min,11:50,16:15,(1 escala),111 €
03/10/2019,BILBAO,LONDON HEATHROW,KLM,6 h 20 min,11:50,17:10,(1 escala),111 €
03/10/2019,BILBAO,LONDON HEATHROW,KLM,6 h 45 min,11:50,17:35,(1 escala),111 €
03/10/2019,BILBAO,LONDON HEATHROW,KLM,7 h 0 min,11:50,17:50,(1 escala),111 €
03/10/2019,BILBAO,LONDON HEATHROW,KLM,8 h 0 min,6:50,13:50,(1 escala),111 €
03/10/2019,BILBAO,LONDON HEATHROW,British Airways,5 h 0 min,8:15,12:15,(1 escala),115 €
03/10/2019,BILBAO,LONDON HEATHROW,British Airways,5 h 40 min,17:45,22:25,(1 escala),115 €
03/10/2019,BILBAO,LONDON HEATHROW,British Airways,6 h 30 min,6:45,12:15,(1 escala),115 €
03/10/2019,BILBAO,LONDON HEATHROW,British Airways,7 h 15 min,14:45,21:00,(1 escala),115 €
03/10/2019,BILBAO,LONDON HEATHROW,Iberia,4 h 40 min,14:45,18:25,(1 escala),117 €
03/10/2019,BILBAO,LONDON HEATHROW,TAP Portugal,7 h 0 min,11:45,17:45,(1 escala),118 €
03/10/2019,BILBAO,LONDON HEATHROW,TAP Portugal,8 h 5 min,11:45,18:50,(1 escala),118 €
03/10/2019,BILBAO,LONDON HEATHROW,KLM,4 h 40 min,17:15,20:55,(1 escala),124 €
03/10/2019,BILBAO,LONDON HEATHROW,British Airways,5 h 55 min,14:45,19:40,(1 escala),125 €
03/10/2019,BILBAO,LONDON HEATHROW,British Airways,7 h 20 min,13:20,19:40,(1 escala),125 €
03/10/2019,BILBAO,LONDON HEATHROW,Air France,4 h 15 min,18:05,21:20,(1 escala),131 €
03/10/2019,BILBAO,LONDON HEATHROW,Air France,7 h 10 min,10:15,16:25,(1 escala),144 €
03/10/2019,BILBAO,LONDON HEATHROW,Air France,14 h 50 min,18:05,7:55,(1 escala),144 €
03/10/2019,BILBAO,LONDON HEATHROW,British Airways,4 h 40 min,14:45,18:25,(1 escala),145 €
03/10/2019,BILBAO,LONDON HEATHROW,Varias aerolíneas,4 h 25 min,19:00,22:25,(1 escala),165 €
03/10/2019,BILBAO,LONDON HEATHROW,Air France,4 h 30 min,10:15,13:45,(1 escala),168 €
03/10/2019,BILBAO,LONDON HEATHROW,Air France,7 h 35 min,7:10,13:45,(1 escala),168 €
03/10/2019,BILBAO,LONDON HEATHROW,Air France,4 h 25 min,7:10,10:35,(1 escala),273 €
03/10/2019,BILBAO,LONDON HEATHROW,Swiss International Air Lines,8 h 5 min,14:35,21:40,(1 escala),305 €
03/10/2019,BILBAO,LONDON HEATHROW,Lufthansa,5 h 0 min,18:40,22:40,(1 escala),305 €
03/10/2019,BILBAO,LONDON HEATHROW,Lufthansa,5 h 15 min,11:30,15:45,(1 escala),305 €
03/10/2019,BILBAO,LONDON HEATHROW,Lufthansa,6 h 0 min,14:40,19:40,(1 escala),305 €
03/10/2019,BILBAO,LONDON HEATHROW,Lufthansa,6 h 10 min,7:40,12:50,(1 escala),305 €
03/10/2019,BILBAO,LONDON HEATHROW,Lufthansa,6 h 35 min,11:30,17:05,(1 escala),305 €
03/10/2019,BILBAO,LONDON HEATHROW,Lufthansa,7 h 5 min,14:40,20:45,(1 escala),305 €
03/10/2019,BILBAO,LONDON HEATHROW,Lufthansa,4 h 30 min,14:10,17:40,(1 escala),308 €
03/10/2019,BILBAO,LONDON HEATHROW,Lufthansa,4 h 50 min,6:50,10:40,(1 escala),308 €
03/10/2019,BILBAO,LONDON HEATHROW,Lufthansa,5 h 30 min,14:10,18:40,(1 escala),308 €
03/10/2019,BILBAO,LONDON HEATHROW,Lufthansa,6 h 50 min,6:50,12:40,(1 escala),308 €
03/10/2019,BILBAO,LONDON HEATHROW,Lufthansa,7 h 30 min,14:10,20:40,(1 escala),308 €
03/10/2019,BILBAO,LONDON HEATHROW,Swiss International Air Lines,5 h 50 min,14:35,19:25,(1 escala),333 €
03/10/2019,BILBAO,LONDON HEATHROW,Austrian Airlines,8 h 20 min,14:10,21:30,(2 escalas),356 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Iberia,19 h 30 min,8:30,22:00,(1 escala),271 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Varias aerolíneas,10 h 10 min,10:05,14:15,(1 escala),1.872 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Varias aerolíneas,12 h 5 min,7:30,13:35,(1 escala),1.872 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Varias aerolíneas,12 h 45 min,7:30,14:15,(1 escala),1.872 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Varias aerolíneas,12 h 55 min,11:45,18:40,(1 escala),1.872 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Varias aerolíneas,14 h 35 min,10:05,18:40,(1 escala),1.872 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Varias aerolíneas,17 h 10 min,7:30,18:40,(1 escala),1.872 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Varias aerolíneas,23 h 10 min,20:25,13:35,(1 escala),1.882 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Varias aerolíneas,23 h 50 min,20:25,14:15,(1 escala),1.882 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Varias aerolíneas,25 h 35 min,18:00,13:35,(1 escala),1.882 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Iberia,10 h 10 min,10:05,14:15,(1 escala),1.883 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,10 h 10 min,10:05,14:15,(1 escala),1.883 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Iberia,12 h 5 min,7:30,13:35,(1 escala),1.883 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,12 h 5 min,7:30,13:35,(1 escala),1.883 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Iberia,12 h 45 min,7:30,14:15,(1 escala),1.883 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,12 h 45 min,7:30,14:15,(1 escala),1.883 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Iberia,12 h 55 min,11:45,18:40,(1 escala),1.883 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Iberia,14 h 35 min,10:05,18:40,(1 escala),1.883 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,14 h 35 min,10:05,18:40,(1 escala),1.883 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Iberia,17 h 10 min,7:30,18:40,(1 escala),1.883 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,17 h 10 min,7:30,18:40,(1 escala),1.883 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Iberia,23 h 10 min,20:25,13:35,(1 escala),1.893 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,23 h 10 min,20:25,13:35,(1 escala),1.893 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Iberia,23 h 50 min,20:25,14:15,(1 escala),1.893 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,23 h 50 min,20:25,14:15,(1 escala),1.893 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Iberia,25 h 35 min,18:00,13:35,(1 escala),1.893 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Iberia,26 h 15 min,18:00,14:15,(1 escala),1.893 €
03/10/2019,SAN SEBASTIAN,NEW YORK,Varias aerolíneas,10 h 10 min,10:05,14:15,(1 escala),1.897 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,15 h 10 min,10:05,19:15,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,15 h 55 min,7:30,17:25,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,16 h 55 min,10:05,21:00,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,16 h 55 min,10:05,21:00,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,17 h 45 min,7:30,19:15,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,17 h 45 min,7:30,19:15,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,17 h 45 min,7:30,19:15,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,18 h 30 min,10:05,22:35,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,18 h 30 min,10:05,22:35,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,18 h 30 min,10:05,22:35,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,18 h 30 min,10:05,22:35,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,18 h 30 min,10:05,22:35,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,19 h 30 min,7:30,21:00,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,19 h 30 min,7:30,21:00,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,19 h 30 min,7:30,21:00,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,19 h 30 min,7:30,21:00,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,21 h 5 min,7:30,22:35,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,21 h 5 min,7:30,22:35,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,21 h 5 min,7:30,22:35,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,21 h 5 min,7:30,22:35,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,21 h 5 min,7:30,22:35,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,21 h 5 min,7:30,22:35,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,21 h 5 min,7:30,22:35,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,22 h 0 min,20:25,12:25,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,23 h 5 min,18:00,11:05,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,23 h 40 min,20:25,14:05,(2 escalas),1.910 €
03/10/2019,SAN SEBASTIAN,NEW YORK,British Airways,23 h 40 min,20:25,14:05,(2 escalas),1.910 €
