id_flight,name_departure_airport,name_arrival_airport,name_airline,duration,time_departure,time_arrival,number_stops,prices
0.0,BILBAO,NEW YORK,TAP Portugal,30 h 20 min,19:40,20:00,(1 escala),310 €
1.0,BILBAO,NEW YORK,Turkish Airlines,24 h 50 min,16:55,11:45,(1 escala),466 €
2.0,BILBAO,NEW YORK,Turkish Airlines,31 h 15 min,16:55,18:10,(1 escala),466 €
3.0,BILBAO,NEW YORK,Aer Lingus,11 h 30 min,13:45,19:15,(1 escala),559 €
4.0,BILBAO,NEW YORK,Varias aerolíneas,22 h 25 min,18:50,11:15,(1 escala),691 €
5.0,BILBAO,NEW YORK,Varias aerolíneas,28 h 0 min,13:15,11:15,(1 escala),691 €
6.0,BILBAO,NEW YORK,Air Europa,11 h 10 min,12:45,17:55,(1 escala),1.776 €
7.0,BILBAO,NEW YORK,Air Europa,15 h 20 min,8:35,17:55,(1 escala),1.776 €
8.0,BILBAO,NEW YORK,Air France,11 h 35 min,10:20,15:55,(1 escala),1.823 €
9.0,BILBAO,NEW YORK,Varias aerolíneas,11 h 35 min,10:20,15:55,(1 escala),1.823 €
10.0,BILBAO,NEW YORK,Delta,11 h 35 min,10:20,15:55,(1 escala),1.823 €
11.0,BILBAO,NEW YORK,Air France,14 h 35 min,10:20,18:55,(1 escala),1.823 €
12.0,BILBAO,NEW YORK,Delta,14 h 35 min,10:20,18:55,(1 escala),1.823 €
13.0,BILBAO,NEW YORK,Air France,14 h 40 min,7:15,15:55,(1 escala),1.823 €
14.0,BILBAO,NEW YORK,Delta,14 h 40 min,7:15,15:55,(1 escala),1.823 €
15.0,BILBAO,NEW YORK,Air France,16 h 30 min,10:20,20:50,(1 escala),1.823 €
16.0,BILBAO,NEW YORK,Air France,17 h 40 min,7:15,18:55,(1 escala),1.823 €
17.0,BILBAO,NEW YORK,Air France,20 h 30 min,20:10,10:40,(1 escala),1.823 €
18.0,BILBAO,NEW YORK,Varias aerolíneas,11 h 15 min,13:20,18:35,(1 escala),1.825 €
19.0,BILBAO,NEW YORK,Varias aerolíneas,12 h 45 min,8:15,15:00,(1 escala),1.825 €
20.0,BILBAO,NEW YORK,Finnair,12 h 45 min,8:15,15:00,(1 escala),1.825 €
21.0,BILBAO,NEW YORK,Finnair,16 h 20 min,8:15,18:35,(1 escala),1.825 €
22.0,BILBAO,NEW YORK,American Airlines,15 h 15 min,13:20,22:35,(2 escalas),1.831 €
23.0,BILBAO,NEW YORK,American Airlines,15 h 15 min,13:20,22:35,(2 escalas),1.831 €
24.0,BILBAO,NEW YORK,Iberia,11 h 15 min,13:20,18:35,(1 escala),1.836 €
25.0,BILBAO,NEW YORK,British Airways,11 h 15 min,13:20,18:35,(1 escala),1.836 €
26.0,BILBAO,NEW YORK,Iberia,12 h 45 min,8:15,15:00,(1 escala),1.836 €
27.0,BILBAO,NEW YORK,British Airways,12 h 45 min,8:15,15:00,(1 escala),1.836 €
28.0,BILBAO,NEW YORK,Iberia,16 h 20 min,8:15,18:35,(1 escala),1.836 €
29.0,BILBAO,NEW YORK,British Airways,16 h 20 min,8:15,18:35,(1 escala),1.836 €
30.0,BILBAO,NEW YORK,British Airways,14 h 50 min,8:15,17:05,(2 escalas),1.842 €
31.0,BILBAO,NEW YORK,British Airways,15 h 25 min,13:20,22:45,(2 escalas),1.842 €
32.0,BILBAO,NEW YORK,British Airways,15 h 25 min,13:20,22:45,(2 escalas),1.842 €
33.0,BILBAO,NEW YORK,British Airways,15 h 25 min,13:20,22:45,(2 escalas),1.842 €
34.0,BILBAO,NEW YORK,Varias aerolíneas,12 h 45 min,6:55,13:40,(1 escala),1.954 €
35.0,BILBAO,NEW YORK,Delta,12 h 11 min,7:15,13:26,(1 escala),1.954 €
36.0,BILBAO,NEW YORK,Air France,12 h 11 min,7:15,13:26,(1 escala),1.954 €
37.0,BILBAO,NEW YORK,Delta,16 h 30 min,10:20,20:50,(1 escala),1.954 €
38.0,BILBAO,NEW YORK,Delta,12 h 40 min,6:50,13:30,(1 escala),1.957 €
39.0,BILBAO,NEW YORK,KLM,12 h 40 min,6:50,13:30,(1 escala),1.957 €
40.0,BILBAO,NEW YORK,KLM,14 h 55 min,6:50,15:45,(1 escala),1.957 €
41.0,BILBAO,NEW YORK,Delta,14 h 55 min,6:50,15:45,(1 escala),1.957 €
42.0,BILBAO,NEW YORK,Delta,16 h 25 min,6:50,17:15,(1 escala),1.957 €
43.0,BILBAO,NEW YORK,Delta,10 h 55 min,8:35,13:30,(1 escala),1.970 €
44.0,BILBAO,NEW YORK,KLM,10 h 55 min,8:35,13:30,(1 escala),1.970 €
45.0,BILBAO,NEW YORK,Delta,15 h 20 min,8:35,17:55,(1 escala),1.970 €
46.0,BILBAO,NEW YORK,Varias aerolíneas,14 h 30 min,7:15,15:45,(2 escalas),1.973 €
47.0,BILBAO,NEW YORK,Varias aerolíneas,14 h 30 min,7:15,15:45,(2 escalas),1.973 €
48.0,BILBAO,NEW YORK,Varias aerolíneas,10 h 55 min,8:35,13:30,(1 escala),1.983 €
49.0,BILBAO,NEW YORK,United,12 h 45 min,6:55,13:40,(1 escala),2.082 €
50.0,BILBAO,NEW YORK,United,13 h 15 min,13:15,20:30,(1 escala),2.082 €
51.0,BILBAO,NEW YORK,United,14 h 0 min,7:40,15:40,(1 escala),2.083 €
52.0,BILBAO,NEW YORK,American Airlines,11 h 15 min,13:20,18:35,(1 escala),2.088 €
53.0,BILBAO,NEW YORK,American Airlines,12 h 45 min,8:15,15:00,(1 escala),2.088 €
